project,feature_selection,metrics_configuration,precision_mean,precision_max,recall_mean,recall_max,f1_measure_mean,f1_measure_max,auc_roc_mean,auc_roc_max,brier_score_mean,brier_score_max,original_num_files_per_version,original_num_defective_files_per_version,original_training_num_files,original_testing_num_files,original_training_num_defective_files,original_testing_num_defective_files,num_training_files,num_testing_files,num_training_defective_files,num_testing_defective_files
accumulo,f_classif_50,Traditional + Fowler,0.2174068120774983,0.2385238523852385,0.7494350282485875,0.9011299435028248,0.3359137962742013,0.36177474402730375,0.5686501697786774,0.6055517268609251,0.545746887966805,0.6602697095435685,7937,1361,29650,10035,29650,1840,31705,9640,9085,1770
accumulo,mutual_info_classif_20p,Designite,0.2606068193417459,0.2633410672853828,0.3062416998671979,0.31208499335989376,0.2815396480994664,0.282791817087846,0.5548475766603257,0.5553850663412416,0.288243938280676,0.29218711731569924,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,mutual_info_classif_20p,Designite + Fowler,0.18017766610854474,0.18515245249668585,0.9344339622641509,0.9929245283018868,0.302039934311903,0.3118719761816152,0.688366655752466,0.7090436090533295,0.5005477951246234,0.5089016707751302,7937,1361,29650,10035,29650,1840,60410,18255,11390,2120
accumulo,mutual_info_classif_20p,Fowler,0.18424890617403986,0.18424890617403986,0.7564870259481039,0.7564870259481038,0.29632525410476923,0.2963252541047693,0.6263671995546582,0.6263671995546582,0.4697286012526095,0.4697286012526096,7937,1361,29650,10035,29650,1840,63065,19160,12375,2505
accumulo,mutual_info_classif_20p,Traditional,0.2270477470739932,0.25299401197604793,0.5862439024390245,0.824390243902439,0.3249780068003931,0.3871706758304696,0.5413277822686027,0.6013304321929338,0.4853116315998413,0.5309646685192537,7937,1361,29650,10035,29650,1840,85740,25190,22800,5125
accumulo,mutual_info_classif_20p,Traditional + Designite,0.2160428848029472,0.23252200932159506,0.6869853917662685,0.7304116865869854,0.32825831375595205,0.3372164316370325,0.5607599631504013,0.5756182477298015,0.518907665931913,0.5686994856722998,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,mutual_info_classif_20p,Traditional + Designite + Fowler,0.21289591643386885,0.24285714285714285,0.7614093959731544,1.0,0.3310714330452068,0.3686337914308812,0.5768803353803449,0.6307797973268437,0.5433333333333333,0.8257309941520468,7937,1361,29650,10035,29650,1840,28295,8550,8330,1490
accumulo,mutual_info_classif_20p,Traditional + Fowler,0.21533132878900785,0.2878103837471783,0.7460451977401128,1.0,0.3320914776305684,0.4112903225806452,0.5599349241559524,0.6597247647147503,0.5578319502074689,0.8163900414937759,7937,1361,29650,10035,29650,1840,31705,9640,9085,1770
accumulo,mutual_info_classif_50p,Designite,0.2584229434094535,0.26,0.3120849933598938,0.3147410358565737,0.2827234079339539,0.2831215970961888,0.5547812354186856,0.5553784860557769,0.2920401665442077,0.2946362968405584,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,mutual_info_classif_50p,Designite + Fowler,0.17862221797034633,0.1860258121940365,0.8922169811320755,0.9858490566037736,0.2976271086275534,0.3129913889928866,0.6767871394659448,0.7095343826557758,0.4886058614078334,0.5026020268419611,7937,1361,29650,10035,29650,1840,60410,18255,11390,2120
accumulo,mutual_info_classif_50p,Fowler,0.18806075602955555,0.19356187290969892,0.8774451097804393,0.9261477045908184,0.3097033710336831,0.3200829588662288,0.6540482828998263,0.6726205349732837,0.5109342379958246,0.5146137787056367,7937,1361,29650,10035,29650,1840,63065,19160,12375,2505
accumulo,mutual_info_classif_50p,Traditional,0.23569405864272394,0.27406609195402304,0.6566829268292682,0.744390243902439,0.3463204669951786,0.4006300866369126,0.5551543216254491,0.6203884934937065,0.505061532354109,0.573243350535927,7937,1361,29650,10035,29650,1840,85740,25190,22800,5125
accumulo,mutual_info_classif_50p,Traditional + Designite,0.2204917636648328,0.24174246050741985,0.6831341301460825,0.7011952191235059,0.3331987823686173,0.3553835327234342,0.5678583563643325,0.5974875273680054,0.5048983590497185,0.5368601518491305,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,mutual_info_classif_50p,Traditional + Designite + Fowler,0.18487848085939906,0.2494331065759637,0.6889261744966442,0.8590604026845637,0.2909159755032774,0.3728813559322034,0.5605749852653193,0.6347082533224329,0.5230409356725146,0.6146198830409356,7937,1361,29650,10035,29650,1840,28295,8550,8330,1490
accumulo,mutual_info_classif_50p,Traditional + Fowler,0.2232424452358552,0.25972660357518396,0.7494350282485875,1.0,0.3420315000583046,0.3785440613026819,0.5747810465258186,0.6252360031299578,0.5357365145228216,0.8163900414937759,7937,1361,29650,10035,29650,1840,31705,9640,9085,1770
accumulo,recursive_elimination,Designite,0.2352384250968731,0.2443792766373412,0.26905710491367857,0.3320053120849933,0.25075677179691963,0.28153153153153154,0.5357898137181006,0.5499365899764306,0.29586088660298804,0.3125153073720304,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,recursive_elimination,Designite + Fowler,0.17536782689535566,0.18618214445939885,0.8412735849056604,0.9787735849056604,0.29018722521995616,0.31285337353938936,0.6609218869678596,0.7083207868748941,0.477540399890441,0.4993152560942208,7937,1361,29650,10035,29650,1840,60410,18255,11390,2120
accumulo,recursive_elimination,Fowler,0.18669601027321173,0.19285424279334146,0.8638722554890219,0.9481037924151696,0.3068437952590602,0.3205128205128205,0.6490631166367355,0.6756430099872306,0.5095772442588726,0.5255741127348643,7937,1361,29650,10035,29650,1840,63065,19160,12375,2505
accumulo,recursive_elimination,Traditional,0.21719942138578469,0.2541159627773801,0.5791219512195122,0.6926829268292682,0.3158619088739606,0.3718250851008117,0.5453920247002121,0.5866853457968918,0.4746129416435093,0.5279872965462485,7937,1361,29650,10035,29650,1840,85740,25190,22800,5125
accumulo,recursive_elimination,Traditional + Designite,0.22850371198444325,0.28651685393258425,0.6594953519256309,0.6958831341301461,0.33841504524010063,0.3898089171974522,0.5746125408276803,0.6331592548724022,0.4789615478814596,0.5564535880480039,7937,1361,29650,10035,29650,1840,69925,20415,19035,3765
accumulo,recursive_elimination,Traditional + Designite + Fowler,0.20551444288658546,0.2378490175801448,0.7567114093959731,1.0,0.3212119302663892,0.3636363636363637,0.5633415403920375,0.6249287031579748,0.5626315789473686,0.8251461988304094,7937,1361,29650,10035,29650,1840,28295,8550,8330,1490
accumulo,recursive_elimination,Traditional + Fowler,0.1972589641405464,0.2463636363636364,0.7011299435028249,1.0,0.3051633294800518,0.3727647867950481,0.5275027099979179,0.6194265572617176,0.5823651452282157,0.8163900414937759,7937,1361,29650,10035,29650,1840,31705,9640,9085,1770
activemq,all,Designite,0.21960886820045689,0.23225806451612904,0.2880519480519481,0.2935064935064935,0.24904184523463735,0.2541176470588235,0.57575142354188,0.5785377485584955,0.20415013732072024,0.21025328043942632,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,all,Designite + Fowler,0.21665084701028192,0.2564705882352941,0.4680203045685278,0.6243654822335025,0.2953629616974379,0.35143769968051114,0.6671894127344248,0.7209447989945648,0.16286778398510246,0.19664804469273744,11208,911,38940,17100,38940,1670,26695,13425,1850,985
activemq,all,Fowler,0.20504761675567795,0.2419006479481641,0.4863436123348018,0.5638766519823789,0.2880766002254089,0.3246376811594203,0.6631532188068061,0.688072154987472,0.18755570791909493,0.2070620500514227,11208,911,38940,17100,38940,1670,29495,14585,2050,1135
activemq,all,Traditional,0.24273465690261106,0.30141843971631205,0.5218884120171674,0.8068669527896996,0.3128895318552517,0.3812154696132597,0.6170871475325057,0.6918845333853865,0.3107476635514019,0.7764797507788161,11208,911,38940,17100,38940,1670,41745,19260,3435,2330
activemq,all,Traditional + Designite,0.2386753466065409,0.31982942430703626,0.5316883116883118,0.7324675324675325,0.3130616506313867,0.4011039558417664,0.6233130355122056,0.6994377683174363,0.30659139456820256,0.7616722612145255,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,all,Traditional + Designite + Fowler,0.27582126270930873,0.3385214007782101,0.4672131147540983,0.6994535519125683,0.32876254357565315,0.3963636363636363,0.6464863916311929,0.7133487304893881,0.21446965052115266,0.42857142857142855,11208,911,38940,17100,38940,1670,16280,8155,1710,915
activemq,all,Traditional + Fowler,0.2742815784859719,0.3490909090909091,0.4899038461538463,0.6538461538461539,0.33862030833067736,0.3975155279503106,0.651666123908771,0.7131381690205219,0.22215758857747225,0.38656795346377576,11208,911,38940,17100,38940,1670,19520,9455,1870,1040
activemq,chi2_20p,Designite,0.21951920952744364,0.2210953346855984,0.2831168831168832,0.2831168831168831,0.24728724629520615,0.2482915717539864,0.5745459934256615,0.5751684000646656,0.20250228867866954,0.2050656087885261,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,chi2_20p,Designite + Fowler,0.26741895671341537,0.30407523510971785,0.5137055837563451,0.5482233502538071,0.35120253523702943,0.3782771535580525,0.7007836600453752,0.7102049227153279,0.1395903165735568,0.1515828677839851,11208,911,38940,17100,38940,1670,26695,13425,1850,985
activemq,chi2_20p,Fowler,0.2841179412502326,0.3238434163701068,0.43876651982378856,0.4581497797356828,0.3438788036917627,0.3582677165354331,0.6722643008040875,0.6748554771301771,0.13057936235858758,0.14466918066506684,11208,911,38940,17100,38940,1670,29495,14585,2050,1135
activemq,chi2_20p,Traditional,0.21111723696277224,0.2857142857142857,0.5626609442060084,0.6630901287553648,0.3007606801257118,0.3899113837764144,0.6151757172299979,0.7012851453472897,0.34501557632398755,0.6207165109034268,11208,911,38940,17100,38940,1670,41745,19260,3435,2330
activemq,chi2_20p,Traditional + Designite,0.22985333724144744,0.2868020304568528,0.5833766233766233,0.8,0.32401077802267,0.3859087269815853,0.6481198469580213,0.7052760862926837,0.30234971010070183,0.5465364662801343,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,chi2_20p,Traditional + Designite + Fowler,0.2584425637940653,0.3089430894308943,0.5568306010928962,0.6666666666666666,0.34978985480384034,0.4130434782608696,0.6742025933641276,0.7257192887117713,0.2347639484978541,0.3433476394849785,11208,911,38940,17100,38940,1670,16280,8155,1710,915
activemq,chi2_20p,Traditional + Fowler,0.2289599925303909,0.3225806451612903,0.5495192307692308,0.6490384615384616,0.3158446525942976,0.4217462932454695,0.6398220039764156,0.732718874262992,0.2897408778424115,0.5589635113696457,11208,911,38940,17100,38940,1670,19520,9455,1870,1040
activemq,chi2_50p,Designite,0.21900713019325285,0.2215686274509804,0.2942857142857142,0.2961038961038961,0.25111558057633243,0.2525139664804469,0.5772777119146413,0.5781156257297336,0.20622520598108024,0.2087274946597497,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,chi2_50p,Designite + Fowler,0.2279379519153283,0.2631578947368421,0.4852791878172589,0.5837563451776651,0.3096218302367485,0.3469387755102041,0.6772858961594332,0.7076739925245237,0.1588826815642458,0.18659217877094966,11208,911,38940,17100,38940,1670,26695,13425,1850,985
activemq,chi2_50p,Fowler,0.29194285388314245,0.30463576158940403,0.4110132158590309,0.4449339207048458,0.3412274974666503,0.3478260869565218,0.6634062361823034,0.6754409380475902,0.1234830305107988,0.12992800822763112,11208,911,38940,17100,38940,1670,29495,14585,2050,1135
activemq,chi2_50p,Traditional,0.2352106264849897,0.2976054732041049,0.5566523605150214,0.6673819742489271,0.32375946285581725,0.3927272727272728,0.6345577218995664,0.6997489029556189,0.3063862928348909,0.6471962616822429,11208,911,38940,17100,38940,1670,41745,19260,3435,2330
activemq,chi2_50p,Traditional + Designite,0.2422263963273464,0.3129445234708393,0.5612987012987013,0.6623376623376623,0.3322367270157073,0.4044117647058824,0.6540414668319233,0.7022080616478956,0.2750076289288984,0.4235581324382057,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,chi2_50p,Traditional + Designite + Fowler,0.26246748956678945,0.3281853281853282,0.4672131147540984,0.6775956284153005,0.3188231915093865,0.3879173290937997,0.6404090435648944,0.7214548802946592,0.2252605763335377,0.4690374003678725,11208,911,38940,17100,38940,1670,16280,8155,1710,915
activemq,chi2_50p,Traditional + Fowler,0.2656602341144906,0.31137724550898205,0.5177884615384616,0.6394230769230769,0.3409574087947301,0.40061162079510704,0.6569631553087435,0.7213209584533113,0.234479111581174,0.4981491274457959,11208,911,38940,17100,38940,1670,19520,9455,1870,1040
activemq,f_classif_20,Designite,0.21951920952744364,0.2210953346855984,0.2831168831168832,0.2831168831168831,0.24728724629520615,0.2482915717539864,0.5745459934256615,0.5751684000646656,0.20250228867866954,0.2050656087885261,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,f_classif_20,Designite + Fowler,0.2757327144792351,0.3081967213114754,0.5050761421319797,0.5279187817258884,0.3561196834687473,0.3782771535580525,0.6996240839277261,0.7089175249318556,0.13437616387337056,0.1441340782122905,11208,911,38940,17100,38940,1670,26695,13425,1850,985
activemq,f_classif_20,Fowler,0.28640920138883297,0.3205574912891986,0.43436123348017625,0.4493392070484581,0.34485442663843113,0.357976653696498,0.6713627728739171,0.6744837299182811,0.12852245457661984,0.13541309564621187,11208,911,38940,17100,38940,1670,29495,14585,2050,1135
activemq,f_classif_20,Traditional,0.2318507529801201,0.31265508684863524,0.5343347639484978,0.6759656652360515,0.3150401483082009,0.3962264150943397,0.6250380258017739,0.6990999292720087,0.30620456905503635,0.593717549325026,11208,911,38940,17100,38940,1670,41745,19260,3435,2330
activemq,f_classif_20,Traditional + Designite,0.2351807581850021,0.29726205997392435,0.5433766233766233,0.6545454545454545,0.32435608744215905,0.3958333333333333,0.6445963338183256,0.7029157909863304,0.2779676533414709,0.5267012511443393,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,f_classif_20,Traditional + Designite + Fowler,0.2487865450814058,0.326219512195122,0.5234972677595627,0.6830601092896175,0.32957166851587794,0.4187866927592955,0.6546699045980136,0.7209756060743292,0.2435928877988964,0.4469650521152667,11208,911,38940,17100,38940,1670,16280,8155,1710,915
activemq,f_classif_20,Traditional + Fowler,0.24124548410613075,0.315018315018315,0.5408653846153846,0.7067307692307693,0.3250045078571637,0.4131455399061033,0.6531718485762604,0.7284782211252799,0.25922792173453196,0.4272871496562665,11208,911,38940,17100,38940,1670,19520,9455,1870,1040
activemq,f_classif_50,Designite,0.23428496739004964,0.2390804597701149,0.2693506493506493,0.2779220779220779,0.2505228601791897,0.2541567695961995,0.5760480770957951,0.5784492823911911,0.18931949954226426,0.19407995117485505,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,f_classif_50,Designite + Fowler,0.2319545842130316,0.2650918635170604,0.485279187817259,0.6040609137055838,0.3130256567106988,0.3494809688581315,0.6785519733298513,0.7172233828978078,0.15653631284916197,0.186219739292365,11208,911,38940,17100,38940,1670,26695,13425,1850,985
activemq,f_classif_50,Fowler,0.29415245504834625,0.301948051948052,0.4127753303964757,0.4493392070484581,0.34327529119636074,0.3522935779816513,0.6645289291387584,0.675227224342073,0.12290023997257454,0.13404182379156668,11208,911,38940,17100,38940,1670,29495,14585,2050,1135
activemq,f_classif_50,Traditional,0.24383504346280385,0.2971576227390181,0.5469957081545065,0.6802575107296137,0.3268705335167167,0.38664812239221136,0.6308368971959774,0.6990701423939524,0.30560747663551396,0.6430425752855661,11208,911,38940,17100,38940,1670,41745,19260,3435,2330
activemq,f_classif_50,Traditional + Designite,0.2490012864550964,0.321880650994575,0.5314285714285714,0.612987012987013,0.3310420805181253,0.38544251447477257,0.6482523216755582,0.7004189793608881,0.2623741226731767,0.453768690875801,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,f_classif_50,Traditional + Designite + Fowler,0.2769911199026206,0.4191176470588235,0.4557377049180329,0.639344262295082,0.33098040695165165,0.3920704845814978,0.6455138800833259,0.7119675150197747,0.20729613733905575,0.3102391171060699,11208,911,38940,17100,38940,1670,16280,8155,1710,915
activemq,f_classif_50,Traditional + Fowler,0.26741893891702784,0.3458333333333333,0.4951923076923077,0.6346153846153846,0.33848799927830336,0.4,0.6541321015585722,0.7222393619452443,0.221893178212586,0.449497620306716,11208,911,38940,17100,38940,1670,19520,9455,1870,1040
activemq,mutual_info_classif_20p,Designite,0.21951920952744364,0.2210953346855984,0.2831168831168832,0.2831168831168831,0.24728724629520615,0.2482915717539864,0.5745459934256615,0.5751684000646656,0.20250228867866954,0.2050656087885261,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,mutual_info_classif_20p,Designite + Fowler,0.2854363066796616,0.3127035830618892,0.4984771573604061,0.5126903553299492,0.3622775170374578,0.3818897637795275,0.6993390609953156,0.7089175249318556,0.12927374301675976,0.1430167597765363,11208,911,38940,17100,38940,1670,26695,13425,1850,985
activemq,mutual_info_classif_20p,Fowler,0.2794808523604747,0.3205574912891986,0.4431718061674009,0.4581497797356828,0.34223138906021605,0.357976653696498,0.6731100666524737,0.6748554771301771,0.13273911552965376,0.14466918066506684,11208,911,38940,17100,38940,1670,29495,14585,2050,1135
activemq,mutual_info_classif_20p,Traditional,0.21846359572156002,0.28527291452111225,0.5699570815450643,0.6909871244635193,0.30920711110087085,0.3855254001391789,0.6279791314399864,0.6947294971214469,0.3280373831775701,0.6362928348909658,11208,911,38940,17100,38940,1670,41745,19260,3435,2330
activemq,mutual_info_classif_20p,Traditional + Designite,0.2234868207054186,0.30376344086021506,0.5535064935064936,0.6441558441558441,0.3126914369580889,0.400354295837024,0.6326488207504805,0.7039490937831187,0.3068050045773573,0.5962770826975893,11208,911,38940,17100,38940,1670,34965,16385,3020,1925
activemq,mutual_info_classif_20p,Traditional + Designite + Fowler,0.2445236312615427,0.30279898218829515,0.5508196721311476,0.6775956284153005,0.3306454295863577,0.4131944444444444,0.6555893940766235,0.7305233523533496,0.2631514408338443,0.4721030042918455,11208,911,38940,17100,38940,1670,16280,8155,1710,915
