dataset,feature_selection,precision_mean,precision_max,recall_mean,recall_max,f1_measure_mean,f1_measure_max,auc_roc_mean,auc_roc_max,brier_score_mean,brier_score_max
Designite,chi2_50p,0.24933587132064386,0.2510483645513,0.8426062846580405,0.9066543438077634,0.38464445976537687,0.38549044859411896,0.5664065015021469,0.5688482425597157,0.5890953150242327,0.6352988691437803
Designite,f_classif_20,0.36994353886159026,0.3713713713713714,0.33992606284658045,0.3428835489833641,0.35429934078726805,0.3565593464680443,0.5890327988651506,0.5903048235872893,0.270718901453958,0.2707996768982229
Designite,f_classif_50,0.2599862593666856,0.35231316725978645,0.7916820702402958,0.8475046210720887,0.382299759482322,0.3856992639327024,0.5693035674198895,0.5889376071682738,0.555896607431341,0.5898626817447497
Designite,mutual_info_classif_20p,0.28127309434256004,0.3721163490471414,0.7371534195933456,0.9066543438077634,0.3747866491610464,0.38290398126463693,0.5674785185822026,0.5905632215201059,0.5280492730210018,0.6385298869143781
Designite,mutual_info_classif_50p,0.24989605084922487,0.25,0.8354898336414047,0.8382624768946395,0.38472086085151574,0.3851380042462845,0.5671635214718652,0.5675808508504205,0.5839054927302101,0.5848142164781907
Designite,recursive_elimination,0.2505935739221757,0.2508278145695364,0.838539741219963,0.8419593345656192,0.38587006274548663,0.3863153421164471,0.568714315054426,0.5692802590666151,0.5831987075928918,0.5848142164781907
Designite + Fowler,all,0.28500895393789577,0.2966542750929368,0.7725680933852139,0.857976653696498,0.41548908431153836,0.4349157733537519,0.7636556848344163,0.7898247600201689,0.24326672458731538,0.29083405734144224
Designite + Fowler,chi2_20p,0.2978035051473447,0.3008948545861297,0.5134241245136186,0.5350194552529183,0.37692139467802144,0.3835425383542538,0.6806484925746578,0.6886588718807378,0.18946568201563857,0.1922241529105126
Designite + Fowler,chi2_50p,0.24809506236365347,0.25043885313048564,0.842023346303502,0.9241245136186772,0.3831042349381734,0.3915254237288136,0.7606815998021178,0.7850451418949131,0.3024978279756733,0.32298001737619464
Designite + Fowler,f_classif_20,0.23715238043334397,0.2477548864236661,0.9377431906614786,0.9688715953307392,0.37848390885971445,0.3896967179061072,0.7791405439859961,0.7868807854404307,0.3440486533449175,0.35447437011294525
Designite + Fowler,f_classif_50,0.24713823837092158,0.2501356483993489,0.8412451361867704,0.9221789883268484,0.38189800230307713,0.39117522274077215,0.7596323480444854,0.784683626192764,0.3037576020851434,0.32211120764552564
Designite + Fowler,mutual_info_classif_20p,0.23770942819708232,0.24906865353911656,0.9394941634241245,0.9688715953307392,0.3793201454642171,0.3911408274132888,0.780211629389324,0.7868807854404307,0.34350564726324945,0.35447437011294525
Designite + Fowler,mutual_info_classif_50p,0.26134748087721676,0.2648845686512758,0.8571984435797667,0.9202334630350194,0.40044677877975826,0.4045766590389016,0.7762642584646999,0.7941020615908593,0.2865986099044309,0.30386620330147696
Designite + Fowler,recursive_elimination,0.28640637237436894,0.3063352044907779,0.7678988326848248,0.8599221789883269,0.41648695683419346,0.4338444065871664,0.7632648197653954,0.7934085222569996,0.24033449174630755,0.2701998262380539
Fowler,all,0.21807522908975607,0.22039596563317146,0.8410919540229885,0.8836206896551724,0.34632137257808815,0.3506271379703535,0.6941223359416064,0.7048603879682247,0.41447861965491367,0.427231807951988
Fowler,chi2_20p,0.359098228663446,0.35909822866344604,0.32040229885057464,0.3204022988505747,0.3386484434320424,0.3386484434320425,0.617276214136245,0.617276214136245,0.16335333833458368,0.16335333833458365
Fowler,chi2_50p,0.26269322195625666,0.2656794425087108,0.4283045977011494,0.4468390804597701,0.3256392590920113,0.332620320855615,0.6239236534666229,0.6303436127061577,0.23152663165791448,0.2340585146286572
Fowler,f_classif_20,0.359098228663446,0.35909822866344604,0.32040229885057464,0.3204022988505747,0.3386484434320424,0.3386484434320425,0.617276214136245,0.617276214136245,0.16335333833458368,0.16335333833458365
Fowler,f_classif_50,0.262644698671901,0.2652705061082025,0.43117816091954025,0.4454022988505747,0.32641676848989676,0.33013844515441954,0.624724110658217,0.6286545575357273,0.23225806451612904,0.235933983495874
Fowler,mutual_info_classif_20p,0.359098228663446,0.35909822866344604,0.32040229885057464,0.3204022988505747,0.3386484434320424,0.3386484434320425,0.617276214136245,0.617276214136245,0.16335333833458368,0.16335333833458365
Fowler,mutual_info_classif_50p,0.22077712428945345,0.222176759410802,0.7795977011494253,0.7916666666666666,0.3440935515335199,0.345859872611465,0.683230688365912,0.6850603225134628,0.3879782445611403,0.39797449362340587
Fowler,recursive_elimination,0.21602378345973502,0.21981308411214956,0.8522988505747126,0.8965517241379308,0.3446659600632132,0.34957983193277314,0.6939557238205747,0.705609770610812,0.42304951237809457,0.4354838709677419
Traditional,all,0.45184386202100263,0.6656656656656657,0.551127320954907,0.6385941644562334,0.47968065447847047,0.5821596244131455,0.6736445202522744,0.7361095650899059,0.2539755766621438,0.3971506105834464
Traditional,chi2_20p,0.38933532875405064,0.5767894371091036,0.6183687002652519,0.6710875331564987,0.46795349567078404,0.5632846963013234,0.6692491744246765,0.7232542102305276,0.3006919945725916,0.4867028493894166
Traditional,chi2_50p,0.4090036795030663,0.6203451407811079,0.5946949602122016,0.6803713527851459,0.46572840876739274,0.5763513513513514,0.6643894453056914,0.7317331561366786,0.2944369063772049,0.49470827679782897
Traditional,f_classif_20,0.36924089541682026,0.582709326072158,0.6248010610079576,0.7042440318302388,0.4556678139308016,0.5750755794423917,0.6598757949188542,0.7315337194012236,0.31940298507462683,0.4963364993215739
Traditional,f_classif_50,0.4162653286617455,0.6148346738159071,0.5950928381962866,0.6830238726790451,0.4760616985592875,0.5774365821094792,0.6762908749152705,0.7336648530706695,0.2757394843962008,0.3681139755766621
Traditional,mutual_info_classif_20p,0.4514925682203918,0.6568265682656826,0.5591511936339524,0.666445623342175,0.48706468771318506,0.5493827160493827,0.6825012194713602,0.7043444855007344,0.2446268656716418,0.3120759837177748
Traditional,mutual_info_classif_50p,0.4299369959277682,0.6214833759590793,0.5781830238726792,0.6538461538461539,0.47506106083362465,0.5793010752688172,0.6684159745770766,0.7341201751694817,0.2782767978290367,0.4791044776119403
Traditional,recursive_elimination,0.4668216893244385,0.6649797570850202,0.5441644562334218,0.6697612732095489,0.48716751309149986,0.5891472868217055,0.6811149814432207,0.7398901525538308,0.2379782903663501,0.3181818181818182
Traditional + Designite,all,0.49195167842352905,0.6812688821752266,0.546765249537893,0.7005545286506469,0.5023621430733372,0.5988023952095808,0.6825299115906518,0.743651339513868,0.2410339256865913,0.3838852988691438
Traditional + Designite,chi2_20p,0.4168781234278141,0.5796831314072693,0.6386321626617375,0.7005545286506469,0.4936352451247591,0.577262180974478,0.6789026446383624,0.7291619500685399,0.29842487883683366,0.4765751211631664
Traditional + Designite,chi2_50p,0.4680756402212003,0.6662234042553191,0.5946395563770794,0.7070240295748613,0.5054808491501979,0.5940409683426444,0.6843094422712271,0.7395272416378895,0.2652059773828756,0.4731421647819063
Traditional + Designite,f_classif_20,0.424378091822123,0.576782449725777,0.6268022181146027,0.7144177449168208,0.49471168918716346,0.5799632352941176,0.6771995586697044,0.7317705273514927,0.2944264943457189,0.5010096930533118
Traditional + Designite,f_classif_50,0.4585813635968533,0.6546666666666666,0.5854898336414047,0.6950092421441775,0.49687089480263297,0.5832948777111213,0.678597629998997,0.7335246242244479,0.2689822294022617,0.4460823909531502
Traditional + Designite,mutual_info_classif_20p,0.5141748818673422,0.68359375,0.5824399260628466,0.7144177449168208,0.5318993058947399,0.5763341067285384,0.7063233222045499,0.7285706438932592,0.22392972536348948,0.2728190630048465
Traditional + Designite,mutual_info_classif_50p,0.4832616197868414,0.6804657179818887,0.5810536044362291,0.6876155268022182,0.5139552816288464,0.584870848708487,0.6926069055772877,0.7345780376086012,0.24458804523424876,0.3507673667205169
Traditional + Designite,recursive_elimination,0.4639232236499309,0.6786703601108033,0.5888170055452864,0.7181146025878004,0.49754513915225385,0.6052031036056595,0.6777676758992582,0.7487543404643521,0.2721526655896608,0.4499192245557351
Traditional + Designite + Fowler,all,0.5544022826819608,0.7133105802047781,0.5236040609137056,0.7588832487309645,0.5282216668109253,0.6565656565656566,0.6888102271781642,0.7733918615294998,0.22664188351920692,0.2998760842627013
Traditional + Designite + Fowler,chi2_20p,0.5391828029780008,0.6728395061728395,0.6256345177664976,0.766497461928934,0.5702641083149015,0.6367041198501873,0.7201943080635765,0.7613089789464925,0.23141263940520446,0.2992565055762082
Traditional + Designite + Fowler,chi2_50p,0.5314996851779661,0.6956521739130435,0.6050761421319797,0.7868020304568528,0.5576755451606457,0.6365914786967418,0.7094643005741866,0.7608596155446451,0.23711276332094178,0.3073110285006196
Traditional + Designite + Fowler,f_classif_20,0.5882708021492051,1.0,0.5337563451776649,0.8071065989847716,0.49940035172147085,0.6367041198501873,0.6873289922609638,0.7613089789464925,0.23407682775712516,0.3035935563816605
Traditional + Designite + Fowler,f_classif_50,0.5452966009785013,0.7,0.581725888324873,0.7766497461928934,0.551183486838481,0.650990099009901,0.7062317966214529,0.7718710992760256,0.2300495662949195,0.29120198265179675
Traditional + Designite + Fowler,mutual_info_classif_20p,0.5348536522744636,0.6930693069306929,0.615989847715736,0.7360406091370558,0.5655017948375319,0.6561360874848117,0.7156588582840976,0.7774756594823999,0.23333333333333334,0.29615861214374223
Traditional + Designite + Fowler,mutual_info_classif_50p,0.5617442878489685,0.7060810810810809,0.5296954314720812,0.733502538071066,0.5343978183416512,0.6483103879849813,0.6945198468835815,0.7688441374719147,0.22112763320941758,0.25960346964064435
Traditional + Designite + Fowler,recursive_elimination,0.5566182880262862,0.7030716723549488,0.5261421319796954,0.7614213197969543,0.5241075920564155,0.6508135168961201,0.6895874594324707,0.7705230090704835,0.22676579925650553,0.3265179677819083
Traditional + Fowler,all,0.5314448995930579,0.696969696969697,0.4996275605214153,0.707635009310987,0.5007383192094474,0.6094182825484765,0.6824526691495965,0.7517070142768467,0.21386537686416768,0.2740830310358726
Traditional + Fowler,chi2_20p,0.4987927809123301,0.6401869158878505,0.5953445065176909,0.7243947858472998,0.5301222339522338,0.605313092979127,0.7072915948226315,0.7460945582453963,0.22922208786779524,0.2845626763401854
Traditional + Fowler,chi2_50p,0.4897636246271423,0.6893203883495146,0.5891992551210429,0.7430167597765364,0.5221576558398244,0.6103896103896105,0.6993321378485873,0.7518047221647471,0.23821039903264815,0.32245062474808545
Traditional + Fowler,f_classif_20,0.45929197017758294,0.6875,0.5830540037243948,0.7188081936685289,0.49546622476567703,0.6246524559777572,0.6781525162654896,0.7610539232590753,0.2679161628375655,0.430068520757759
Traditional + Fowler,f_classif_50,0.4743697281911139,0.6831955922865014,0.5400372439478585,0.7411545623836127,0.4888767329196292,0.6262814538676608,0.6759599799986207,0.7614088327930661,0.24695687222893992,0.34945586457073763
Traditional + Fowler,mutual_info_classif_20p,0.5214700453343598,0.669833729216152,0.6026070763500931,0.7094972067039106,0.5475919894560792,0.6037735849056604,0.7178930443478861,0.7457396487114054,0.21672712615880693,0.2656187021362354
Traditional + Fowler,mutual_info_classif_50p,0.5262298377828561,0.6982248520710059,0.5013035381750466,0.7039106145251397,0.5008293898213543,0.5983827493261455,0.682236131227441,0.7475558659217877,0.21515517936316,0.2664248286981056
Traditional + Fowler,recursive_elimination,0.5223896937392618,0.6832460732984293,0.5109869646182496,0.7206703910614525,0.5028872145851617,0.6081330868761552,0.6842229061774374,0.7507759155803848,0.2175332527206771,0.27448609431680776
Designite,all,0.33672176821921374,0.4060913705583756,0.3965277777777778,0.4340277777777778,0.3613305021044328,0.3748125937031484,0.5618839605734768,0.5689964157706093,0.3574222222222222,0.37066666666666653
Designite,chi2_20p,0.531663223994051,0.5346938775510204,0.22743055555555552,0.22743055555555555,0.3185801625910375,0.3191230207064555,0.5792469384707288,0.5796650985663083,0.2490666666666667,0.2493333333333333
Designite,chi2_50p,0.3278619212389038,0.3860911270983213,0.396875,0.4131944444444444,0.3566865011865215,0.36196319018404893,0.5567708333333333,0.5632933841099165,0.36519999999999997,0.37377777777777776
Designite,f_classif_20,0.433359904382162,0.5346938775510204,0.2880208333333333,0.3489583333333333,0.32976875107673714,0.3406779661016949,0.5668300104540024,0.5796650985663083,0.2971111111111111,0.3457777777777778
Designite,f_classif_50,0.37514547199170034,0.4204275534441805,0.3421875,0.3923611111111111,0.354073706640852,0.3618895116092874,0.5695704525089607,0.5807665023894863,0.3194666666666667,0.3542222222222222
Designite,mutual_info_classif_20p,0.3493734286395196,0.5245901639344263,0.3619791666666667,0.3802083333333333,0.34811293934594534,0.3535108958837773,0.5587972296893667,0.5764635603345282,0.3451555555555556,0.35600000000000004
Designite,mutual_info_classif_50p,0.33624725254715615,0.33943661971830985,0.4140625,0.4201388888888889,0.37111747719470367,0.374805598755832,0.5664099835722819,0.569117756869773,0.3592444444444444,0.3635555555555556
Designite,recursive_elimination,0.3304523542448312,0.3337950138504155,0.40295138888888893,0.4236111111111111,0.3628847837251485,0.3713405238828968,0.5610037709080048,0.5655335274790919,0.36186666666666667,0.368
Designite + Fowler,all,0.3342071283715734,0.3476454293628809,0.8106382978723404,0.9574468085106383,0.4726615503342818,0.5,0.772820604964126,0.8165218899862452,0.2543271635817909,0.2846423211605803
Designite + Fowler,chi2_20p,0.4496993538805308,0.4515366430260047,0.6769503546099291,0.7092198581560284,0.5403572636900014,0.5502063273727649,0.7704495512129437,0.7832645592469136,0.1624312156078039,0.16358179089544772
Designite + Fowler,chi2_50p,0.31378472161518073,0.4051383399209486,0.8280141843971632,0.9716312056737588,0.44830832394445236,0.5203045685279188,0.7562027823558325,0.7877958008566814,0.29534767383691846,0.3441720860430215
Designite + Fowler,f_classif_20,0.3249097125128492,0.4449438202247191,0.8843971631205673,0.9645390070921984,0.4668900009235504,0.5447042640990372,0.7816569391607495,0.7956067196206479,0.292096048024012,0.32566283141570784
Designite + Fowler,f_classif_50,0.3340292397668603,0.4055666003976143,0.7783687943262411,0.9787234042553192,0.45889353269134653,0.5197452229299364,0.7518809609371451,0.7869738162802512,0.26713356678339173,0.3506753376688344
Designite + Fowler,mutual_info_classif_20p,0.3223499012013609,0.4439461883408072,0.876595744680851,0.9645390070921984,0.46285302492605096,0.543956043956044,0.7769990954039084,0.7956067196206479,0.29449724862431215,0.32866433216608304
Designite + Fowler,mutual_info_classif_50p,0.3079984346615487,0.4142857142857143,0.8503546099290782,0.9716312056737588,0.4465663521830983,0.5259067357512953,0.7604423020524831,0.7877958008566814,0.3041020510255128,0.3441720860430215
Designite + Fowler,recursive_elimination,0.3299356740593093,0.3492286115007013,0.822695035460993,0.9680851063829788,0.47064682586418777,0.5005025125628142,0.7743061665365534,0.8238794780604468,0.26043021510755376,0.27963981990995496
Fowler,all,0.29369367125397516,0.3882978723404255,0.7806970509383377,0.9249329758713136,0.41936256422198337,0.4674493062966915,0.6987468614026062,0.7326172939678981,0.3565766550522648,0.39721254355400704
Fowler,chi2_20p,0.5457644934096597,0.5508196721311476,0.4670241286863271,0.4691689008042895,0.5033047527214184,0.5043227665706052,0.6958105562828412,0.6966229319414065,0.14973867595818818,0.14982578397212545
Fowler,chi2_50p,0.4184491343494807,0.4220532319391635,0.5873994638069705,0.6219839142091153,0.48863264206521057,0.5021645021645021,0.7145525660168498,0.7280486393718484,0.19960801393728225,0.20034843205574912
